股票代码,名称,板块,时间,今收,跌涨幅,跌涨额,成交量,成交额,振幅,最高,最低,今开,换手率,行业板块,地区板块,市盈率,市净率
300001,特锐德,创业板,2022-08-20,18.35,-3.62,-0.69,166042,310329280.9,4.46,19.18,18.33,19.11,1.67,电网设备,山东板块,279.59,3.16
300002,神州泰岳,创业板,2022-08-20,4.35,-1.14,-0.05,375329,166616794.94,3.41,4.5,4.35,4.41,2.24,游戏,北京板块,33.81,1.95
300003,乐普医疗,创业板,2022-08-20,17.49,-0.79,-0.14,73246,128828754.89,1.64,17.75,17.46,17.68,0.48,医疗器械,北京板块,14.47,2.82
300004,南风股份,创业板,2022-08-20,6.88,-2.69,-0.19,83664,58632411.0,6.22,7.3,6.86,7.06,1.75,专用设备,广东板块,244.89,1.96
300005,探路者,创业板,2022-08-20,7.76,2.11,0.16,112768,87368103.78,4.21,7.84,7.52,7.64,1.28,纺织服装,北京板块,208.53,3.16
300006,莱美药业,创业板,2022-08-20,4.13,0.0,0.0,87206,36107213.97,1.45,4.17,4.11,4.13,1.07,化学制药,重庆板块,-41.29,2.05
300007,汉威科技,创业板,2022-08-20,22.09,-7.07,-1.68,250780,575202751.19,9.38,24.13,21.9,23.77,8.94,仪器仪表,河南板块,34.78,2.92
300008,天海防务,创业板,2022-08-20,4.5,-0.88,-0.04,548662,249813611.94,3.52,4.64,4.48,4.57,3.83,船舶制造,上海板块,340.42,4.62
300009,安科生物,创业板,2022-08-20,9.27,-0.86,-0.08,141148,131054764.5,1.82,9.36,9.19,9.19,1.2,生物制品,安徽板块,21.96,5.66
300010,豆神教育,创业板,2022-08-20,3.75,4.46,0.16,1473389,558793629.16,10.86,3.95,3.56,3.57,19.87,教育,北京板块,-19.01,59.42
300011,鼎汉技术,创业板,2022-08-20,6.58,-0.9,-0.06,153521,101420696.24,2.86,6.72,6.53,6.69,3.07,交运设备,北京板块,-26.97,2.53
300012,华测检测,创业板,2022-08-20,20.17,0.0,0.0,61758,124779820.35,1.74,20.38,20.03,20.18,0.41,专业服务,广东板块,70.7,7.47
300013,新宁物流,创业板,2022-08-20,4.99,-0.2,-0.01,253355,127982699.85,3.6,5.14,4.96,4.97,5.68,物流行业,河南板块,-348.85,120.38
300014,亿纬锂能,创业板,2022-08-20,110.8,-2.06,-2.33,274966,3072711377.41,3.92,114.44,110.0,114.01,1.49,电池,广东板块,100.92,11.69
300015,爱尔眼科,创业板,2022-08-20,28.37,-1.08,-0.31,287895,816528677.21,2.27,28.65,28.0,28.65,0.5,医疗服务,湖南板块,81.81,17.32
300016,北陆药业,创业板,2022-08-20,7.12,-0.42,-0.03,22840,16382625.97,1.82,7.25,7.12,7.15,0.56,化学制药,北京板块,22.3,2.03
