股票代码,名称,板块,时间,今收,跌涨幅,跌涨额,成交量,成交额,振幅,最高,最低,今开,换手率,行业板块,地区板块,市盈率,市净率
600000,浦发银行,沪a,2022-08-19,7.2,-0.14,-0.01,175446,126989202.0,1.39,7.28,7.18,7.18,0.06,银行,上海板块,3.5,0.37
600001,邯郸钢铁,沪a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
600002,齐鲁石化,沪a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
600003,ST东北高,沪a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
600004,白云机场,沪a,2022-08-19,13.05,-0.76,-0.1,71082,92938724.0,1.44,13.2,13.01,13.18,0.3,航空机场,广东板块,-93.36,1.69
600005,武钢股份,沪a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
600006,东风汽车,沪a,2022-08-19,6.66,-2.77,-0.19,431769,289952247.0,3.5,6.89,6.65,6.88,2.16,汽车整车,湖北板块,28.06,1.66
600007,中国国贸,沪a,2022-08-19,14.39,0.28,0.04,17332,24875297.0,1.53,14.45,14.23,14.23,0.17,房地产开发,北京板块,13.54,1.75
600008,首创环保,沪a,2022-08-19,2.85,0.71,0.02,453005,129017553.0,1.41,2.86,2.82,2.83,0.62,公用事业,北京板块,16.65,1.28
600009,上海机场,沪a,2022-08-19,56.44,-0.46,-0.26,65719,371440118.0,1.11,56.9,56.27,56.74,0.6,航空机场,上海板块,-65.51,2.89
600010,包钢股份,沪a,2022-08-19,2.13,0.0,0.0,2367728,506197396.0,0.94,2.15,2.13,2.13,0.75,钢铁行业,内蒙古,73.33,1.77
600011,华能国际,沪a,2022-08-19,7.92,10.0,0.72,1487607,1125352101.0,11.81,7.92,7.07,7.18,1.35,电力行业,北京板块,-20.66,2.32
600012,皖通高速,沪a,2022-08-19,6.74,0.6,0.04,30072,20241448.0,1.34,6.77,6.68,6.68,0.26,铁路公路,安徽板块,6.88,1.0
600015,华夏银行,沪a,2022-08-19,5.1,0.0,0.0,200029,102467592.0,0.98,5.14,5.09,5.09,0.16,银行,北京板块,3.49,0.33
600016,民生银行,沪a,2022-08-19,3.63,-0.55,-0.02,461686,168134602.0,1.37,3.66,3.61,3.64,0.13,银行,北京板块,2.9,0.33
600017,日照港,沪a,2022-08-19,2.95,0.0,0.0,177835,52416659.0,1.36,2.97,2.93,2.94,0.58,航运港口,山东板块,9.14,0.69
600018,XD上港集,沪a,2022-08-19,5.25,0.57,0.03,202283,106234902.0,1.15,5.27,5.21,5.24,0.09,航运港口,上海板块,5.56,1.21
600019,宝钢股份,沪a,2022-08-19,5.35,0.75,0.04,566981,303705215.0,1.88,5.39,5.29,5.31,0.26,钢铁行业,上海板块,7.98,0.63
