股票代码,名称,板块,时间,今收,跌涨幅,跌涨额,成交量,成交额,振幅,最高,最低,今开,换手率,行业板块,地区板块,市盈率,市净率
000001,平安银行,深a,2022-08-19,12.57,2.61,0.32,2106417,2653471090.1,4.24,12.75,12.23,12.27,1.09,银行,广东板块,5.52,0.71
000002,万  科Ａ,深a,2022-08-19,17.01,1.31,0.22,711170,1212848980.06,3.99,17.3,16.63,16.75,0.73,房地产开发,广东板块,34.6,0.87
000003,PT金田A,深a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
000004,ST国华,深a,2022-08-19,9.75,0.62,0.06,24353,23902793.0,3.41,9.97,9.64,9.64,2.09,软件开发,广东板块,-25.76,1.39
000005,ST星源,深a,2022-08-19,1.84,1.1,0.02,58042,10660453.64,2.2,1.85,1.81,1.82,0.55,环保行业,广东板块,311.06,1.42
000006,深振业Ａ,深a,2022-08-19,4.13,0.73,0.03,87327,36225787.87,2.2,4.18,4.09,4.11,0.65,房地产开发,广东板块,31.37,0.74
000007,全新好,深a,2022-08-19,8.16,4.08,0.32,331531,264218710.91,9.44,8.33,7.59,7.78,10.73,房地产服务,广东板块,-159.04,29.18
000008,神州高铁,深a,2022-08-19,2.48,0.4,0.01,163407,40557639.74,1.62,2.5,2.46,2.46,0.61,交运设备,北京板块,-33.58,1.34
000009,中国宝安,深a,2022-08-19,16.39,-4.49,-0.77,1196586,2001102744.8,5.59,17.33,16.37,16.91,4.69,综合行业,广东板块,64.0,5.17
000010,美丽生态,深a,2022-08-19,3.42,-0.58,-0.02,91884,31607508.04,2.91,3.5,3.4,3.44,1.76,工程建设,广东板块,458.21,2.91
000011,深物业A,深a,2022-08-19,10.41,1.76,0.18,76716,80002455.83,3.32,10.54,10.2,10.23,1.46,房地产开发,广东板块,7.07,1.51
000012,南  玻Ａ,深a,2022-08-19,6.81,-0.73,-0.05,530927,363376277.72,2.92,6.96,6.76,6.85,2.71,玻璃玻纤,广东板块,13.63,1.87
000013,*ST石化A,深a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
000014,沙河股份,深a,2022-08-19,8.49,2.29,0.19,79794,67385013.35,2.41,8.5,8.3,8.3,3.3,房地产开发,广东板块,32.73,2.2
000015,PT中浩A,深a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
000016,深康佳Ａ,深a,2022-08-19,5.6,0.9,0.05,192844,109020126.8,5.05,5.84,5.56,5.58,1.21,家电行业,广东板块,32.45,1.46
000017,深中华A,深a,2022-08-19,4.42,-2.86,-0.13,109565,48957483.0,2.86,4.55,4.42,4.54,3.62,交运设备,广东板块,-673.94,304.07
000018,神城A退,深a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
000019,深粮控股,深a,2022-08-19,7.79,1.04,0.08,125894,98409518.97,2.33,7.88,7.7,7.72,3.02,贸易行业,广东板块,16.33,2.0
000020,深华发Ａ,深a,2022-08-19,10.04,-2.62,-0.27,32025,32564529.79,3.69,10.39,10.01,10.22,1.77,光学光电子,广东板块,120.34,8.14
000021,深科技,深a,2022-08-19,13.36,-2.62,-0.36,260819,353571916.74,3.79,13.88,13.36,13.75,1.67,消费电子,广东板块,21.52,2.12
000023,深天地Ａ,深a,2022-08-19,10.82,-1.1,-0.12,10786,11823931.0,3.11,11.13,10.79,10.92,0.78,水泥建材,广东板块,-11.01,3.98
000024,招商地产,深a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
000025,特  力Ａ,深a,2022-08-19,20.65,-2.59,-0.55,104478,217982581.42,2.88,21.25,20.64,21.15,2.66,汽车服务,广东板块,65.82,6.11
000026,飞亚达,深a,2022-08-19,10.2,-1.16,-0.12,44883,46376079.44,3.1,10.5,10.18,10.36,1.25,珠宝首饰,广东板块,15.43,1.45
